base structure 1, no replacement, CC(C1=[N+]2C(C([P+](C3=CC=CC=C3)([Fe-3]24)C5=CC=CC=C5)=CC=C6)=C6C=C1)=[N+]4C7=CC=CC=C7
base structure 2, sub group 24, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c(CC(C4CCCCC4)C4CCCCC4):c:c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CC(C2CCCCC2)C2CCCCC2):c:c:c:c1
base structure 2, sub group 25, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c(C(C(C4CCCCC4)C4CCCCC4)C4CCCCC4):c:c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(C2CCCCC2)C2CCCCC2)C2CCCCC2):c:c:c:c1
base structure 2, sub group 26, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c(C):c:c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C):c:c:c:c1
base structure 2, sub group 27, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c(CC):c:c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CC):c:c:c:c1
base structure 2, sub group 28, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c(C(C)C):c:c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C)C):c:c:c:c1
base structure 2, sub group 29, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c(CCC):c:c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCC):c:c:c:c1
base structure 2, sub group 30, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c(CCCC):c:c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCCC):c:c:c:c1
base structure 2, sub group 31, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c(CC(C)C):c:c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CC(C)C):c:c:c:c1
base structure 2, sub group 32, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c(C(C)(C)C):c:c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C)(C)C):c:c:c:c1
base structure 2, sub group 33, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c(CCCCC):c:c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCCCC):c:c:c:c1
base structure 2, sub group 34, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c(C(C(C)C)C):c:c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(C)C)C):c:c:c:c1
base structure 2, sub group 35, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c(CCCCCC):c:c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCCCCC):c:c:c:c1
base structure 2, sub group 36, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c(C(C(CC)C)C):c:c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(CC)C)C):c:c:c:c1
base structure 2, sub group 37, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c(CCCCCCC):c:c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCCCCCC):c:c:c:c1
base structure 2, sub group 38, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c(C(C(CC)C)CC):c:c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(CC)C)CC):c:c:c:c1
base structure 2, sub group 39, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c(CCCCCCCC):c:c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCCCCCCC):c:c:c:c1
base structure 2, sub group 40, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c(C(C(C(C)C)C)CC):c:c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(C(C)C)C)CC):c:c:c:c1
base structure 2, sub group 41, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c(CCCCCCCCC):c:c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCCCCCCCC):c:c:c:c1
base structure 2, sub group 42, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c(C(C(C(C)C)C)C(C)C):c:c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(C(C)C)C)C(C)C):c:c:c:c1
base structure 2, sub group 43, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c(CCCCCCCCCC):c:c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCCCCCCCCC):c:c:c:c1
base structure 2, sub group 44, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c(C(C(C(CC)C)C)C(C)C):c:c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(C(CC)C)C)C(C)C):c:c:c:c1
base structure 2, sub group 45, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c(CCCCCCCCCCC):c:c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCCCCCCCCCC):c:c:c:c1
base structure 2, sub group 46, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c(C(C(C(CC)C)C)C(C)CC):c:c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(C(CC)C)C)C(C)CC):c:c:c:c1
base structure 2, sub group 47, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c(CCCCCCCCCCCC):c:c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCCCCCCCCCCC):c:c:c:c1
base structure 2, sub group 48, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c(C(C(C(C(C)C)C)C)C(C)CC):c:c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(C(C(C)C)C)C)C(C)CC):c:c:c:c1
base structure 2, sub group 49, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c(CCCCCCCCCCCCC):c:c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCCCCCCCCCCCC):c:c:c:c1
base structure 2, sub group 50, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c(C(C(C(C(C)C)C)C)C(C)C(C)C):c:c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(C(C(C)C)C)C)C(C)C(C)C):c:c:c:c1
base structure 2, sub group 51, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c(CCCCCCCCCCCCCC):c:c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCCCCCCCCCCCCC):c:c:c:c1
base structure 2, sub group 52, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c(C(C(C(C(C)CC)C)C)C(C)C(C)C):c:c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(C(C(C)CC)C)C)C(C)C(C)C):c:c:c:c1
base structure 2, sub group 53, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c(CCCCCCCCCCCCCCC):c:c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCCCCCCCCCCCCCC):c:c:c:c1
base structure 2, sub group 54, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c(C(C(C(C(C)CC)C)C)C(C)C(C)CC):c:c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(C(C(C)CC)C)C)C(C)C(C)CC):c:c:c:c1
